reviewer_id,review_round,variant_id,comic_format,item_type,item_id,shot_id,source_text,layout_ok,crop_ok,balloon_geometry_ok,balloon_type_ok,reading_order_ok,subject_occlusion_ok,text_fit_ok,tail_ok,shape_safe_ok,adjustment_notes,evidence_path
,,fix-v01-vertical,vertical_scroll,panel,panel_bdc5833e697198a7ab6ba40b,fix-v01-vertical_shot_01,,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,panel_8850fca976efa1cef1f07b19,fix-v01-vertical_shot_02,,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,panel_ed3a31d08dd5ae3076351e67,fix-v01-vertical_shot_03,,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,panel_7a42dc0c41c21f2d50bdc370,fix-v01-vertical_shot_04,,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,panel_e05c884a6c33e9062b300e88,fix-v01-vertical_shot_05,,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,panel_912050c024b71f506c184db6,fix-v01-vertical_shot_06,,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,balloon_3ffc6976b8bb35fe006adf10,fix-v01-vertical_shot_05,有人上来了。,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,balloon_996d8f94f35dc2565036eb64,fix-v01-vertical_shot_03,第七码头，零点四十分。,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,balloon_54aeb9f47d95e0ddf191bccb,fix-v01-vertical_shot_04,先把录音送出去，再回去找她。,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,balloon_8b8de0514a5f765d2693bf7c,fix-v01-vertical_shot_01,凌晨两点，整座城只剩雨声。,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,balloon_16c67469975e9d1dd461fd5b,fix-v01-vertical_shot_06,咔哒。,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,balloon_a13a69428eaf1e9eb0f695bd,fix-v01-vertical_shot_02,如果我现在停下，真相就会永远沉下去。,,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_6256d6353dc06069f4c919f4,fix-v02-vertical_shot_01,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_1b4dc98dad7f3262ade86b35,fix-v02-vertical_shot_02,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_a4d606a41cd3df294ddab423,fix-v02-vertical_shot_03,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_9b3137fb86ab377eb4d12cac,fix-v02-vertical_shot_04,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_2444af1cc1c1e6ed2ef51ff6,fix-v02-vertical_shot_05,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_263a94780577248864b84fbf,fix-v02-vertical_shot_06,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_22318928d1bd67743bc05bf7,fix-v02-vertical_shot_07,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,panel_ea27cf30c56be6c578124087,fix-v02-vertical_shot_08,,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_fbdf101f0bfbf4bbe8efe883,fix-v02-vertical_shot_07,不是我的车。,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_860a4ca2b459fc2ba27158cf,fix-v02-vertical_shot_03,这里面有仓库的原始监控。,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_44576343161f964f50cb740f,fix-v02-vertical_shot_04,你为什么现在才给我？,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_e50d1f69943b73485f9db605,fix-v02-vertical_shot_02,后面有人跟着我。,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_d4d872ecbd5814108d42c20c,fix-v02-vertical_shot_08,关灯，走后门！,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_a61e0742c344d3ee0b382e0a,fix-v02-vertical_shot_01,你迟到了十一分钟。,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_065db5bf3747a6ecfc450a5b,fix-v02-vertical_shot_05,因为昨晚之前，我还以为他活着。,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,balloon_83f1e2b6f6c7e92bd3e3fe64,fix-v02-vertical_shot_06,我会查清楚。,,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,panel_083784b1e48f661bdb764fac,fix-v03-vertical_shot_01,,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,panel_22aa970f9b1c4544904f5cd0,fix-v03-vertical_shot_02,,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,panel_d6fee84773495a3d95dd0095,fix-v03-vertical_shot_03,,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,panel_dea06b88ab3cd4b0ed96db25,fix-v03-vertical_shot_04,,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,panel_f30728929e25dbe69abb2c8a,fix-v03-vertical_shot_05,,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,panel_41ebe6e9b94fb4d6f4bab055,fix-v03-vertical_shot_06,,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,panel_3243d13025b255cec875cd50,fix-v03-vertical_shot_07,,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,balloon_32158cda413ca736feda2c67,fix-v03-vertical_shot_04,抓紧我！,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,balloon_e4c1500c96cd903b2ad980f7,fix-v03-vertical_shot_02,别停！,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,balloon_d1a0cdda744a0a2b67a4b7d7,fix-v03-vertical_shot_07,远处终于响起警笛。,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,balloon_f52e39316423db7678ea068a,fix-v03-vertical_shot_01,八码头东侧。,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,balloon_54ce41149cb2735b0e1ff249,fix-v03-vertical_shot_06,先拿卡！,,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,panel_d189eb91ba4525fa1185d404,fix-v04-vertical_shot_01,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,panel_a016c8db08845fe00c50bff0,fix-v04-vertical_shot_02,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,panel_56a44488b28c6882d806b7f9,fix-v04-vertical_shot_03,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,panel_1ef99cc5f71f5be55465504c,fix-v04-vertical_shot_04,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,panel_1eae21d621d0672acb27d413,fix-v04-vertical_shot_05,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,panel_1165949c5fb566118ae4dd7a,fix-v04-vertical_shot_06,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,panel_78dff6bec98964387c0d820c,fix-v04-vertical_shot_07,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
