reviewer_id,review_round,variant_id,comic_format,item_type,item_id,shot_id,source_text,layout_ok,crop_ok,balloon_geometry_ok,balloon_type_ok,reading_order_ok,subject_occlusion_ok,text_fit_ok,adjustment_notes,evidence_path
,,fix-v01-vertical,vertical_scroll,panel,fix-v01-vertical_panel_1,fix-v01-vertical_shot_01,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,fix-v01-vertical_panel_2,fix-v01-vertical_shot_02,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,fix-v01-vertical_panel_3,fix-v01-vertical_shot_03,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,fix-v01-vertical_panel_4,fix-v01-vertical_shot_04,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,fix-v01-vertical_panel_5,fix-v01-vertical_shot_05,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,panel,fix-v01-vertical_panel_6,fix-v01-vertical_shot_06,,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,fix-v01-vertical_caption_01,fix-v01-vertical_shot_01,凌晨两点，整座城只剩雨声。,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,fix-v01-vertical_dialogue_02_1,fix-v01-vertical_shot_02,如果我现在停下，真相就会永远沉下去。,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,fix-v01-vertical_caption_03,fix-v01-vertical_shot_03,第七码头，零点四十分。,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,fix-v01-vertical_dialogue_04_1,fix-v01-vertical_shot_04,先把录音送出去，再回去找她。,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,fix-v01-vertical_dialogue_05_1,fix-v01-vertical_shot_05,有人上来了。,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v01-vertical,vertical_scroll,required_balloon,fix-v01-vertical_caption_06,fix-v01-vertical_shot_06,咔哒。,,,,,,,,,outputs/fix-v01-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_1,fix-v02-vertical_shot_01,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_2,fix-v02-vertical_shot_02,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_3,fix-v02-vertical_shot_03,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_4,fix-v02-vertical_shot_04,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_5,fix-v02-vertical_shot_05,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_6,fix-v02-vertical_shot_06,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_7,fix-v02-vertical_shot_07,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,panel,fix-v02-vertical_panel_8,fix-v02-vertical_shot_08,,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_01_1,fix-v02-vertical_shot_01,你迟到了十一分钟。,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_02_1,fix-v02-vertical_shot_02,后面有人跟着我。,,,,,,,,,outputs/fix-v02-vertical/long.png
